journal,sentiment_score
Digestion,-0.1344
Critical care nursing clinics of North America,-0.125
Drug development and industrial pharmacy,-0.1143
Macromolecular bioscience,-0.0939
The American surgeon,-0.08410000000000001
JCEM case reports,-0.0599
Trends in cell biology,-0.058300000000000005
Journal of investigative surgery : the official journal of the Academy of Surgical Research,-0.0563
JGH open : an open access journal of gastroenterology and hepatology,-0.0546
Haematologica,-0.051775
Biomedical journal,-0.0458
Diseases of the colon and rectum,-0.0449
Clinical drug investigation,-0.0446
"Journal, genetic engineering & biotechnology",-0.0422
The Lancet. Infectious diseases,-0.0388
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,-0.0388
Stem cell reviews and reports,-0.0346
Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,-0.03415
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,-0.0281
Bioanalysis,-0.0278
Pulmonary therapy,-0.0277
Current neurology and neuroscience reports,-0.0238
Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition,-0.0221
Cell adhesion & migration,-0.0208
Acta dermato-venereologica,-0.0205
Current molecular medicine,-0.0186
PLoS biology,-0.0179
Contemporary clinical trials communications,-0.0135
The Lancet. Global health,-0.0116
Journal of pediatric hematology/oncology nursing,-0.0101
The Lancet. Digital health,-0.0098
Lancet regional health. Americas,-0.0091
Natural product research,-0.0071
Journal of psychosocial oncology,-0.005
Journal of applied toxicology : JAT,-0.0039
BJR case reports,-0.0039
European journal of neurology,-0.0037
Annals of internal medicine,-0.0036
International journal of radiation biology,-0.0028
Expert opinion on emerging drugs,-0.0024
Nature cell biology,-0.0013999999999999985
WIREs mechanisms of disease,-0.001
PLoS medicine,-0.0004
"Light, science & applications",0.0
Pharmacology & therapeutics,0.0
JAMA,4.999999999999883e-05
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",0.0006
Frontiers in surgery,0.0007
Critical reviews in therapeutic drug carrier systems,0.0012
BMC research notes,0.0025
Molecular biology research communications,0.0026
International journal of surgical pathology,0.0029
Cardiovascular and interventional radiology,0.003
Journal of neurosurgery,0.0030333333333333323
BMC psychiatry,0.0034
Arquivos de neuro-psiquiatria,0.0041
Alzheimer's & dementia : the journal of the Alzheimer's Association,0.0044
European journal of haematology,0.0046500000000000005
IEEE journal of biomedical and health informatics,0.0058
Journal of the American Medical Informatics Association : JAMIA,0.0058
Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,0.0066
"Structure (London, England : 1993)",0.00715
Journal of molecular neuroscience : MN,0.0074
Annales de dermatologie et de venereologie,0.0076
"Contemporary oncology (Poznan, Poland)",0.0083
"Journal of neurology, neurosurgery, and psychiatry",0.0094
Fundamental research,0.0096
"Medical sciences (Basel, Switzerland)",0.0104
Neurochemistry international,0.0104
PLoS pathogens,0.0111
Annual review of immunology,0.0111
Respiratory investigation,0.0112
Metabolism: clinical and experimental,0.01185
Nature chemical biology,0.01205
Journal of physiology and biochemistry,0.0124
BMC pharmacology & toxicology,0.0128
Nanotoxicology,0.0129
Neurosurgical focus,0.0135
HemaSphere,0.0144
Nature metabolism,0.01515
Experimental & molecular medicine,0.0152
Expert opinion on therapeutic patents,0.015933333333333334
The Lancet. Neurology,0.016649999999999998
ACS medicinal chemistry letters,0.0167
British journal of pharmacology,0.0167
"MicroRNA (Shariqah, United Arab Emirates)",0.0171
JACC. CardioOncology,0.017174999999999996
Journal of vascular surgery cases and innovative techniques,0.0172
Digital health,0.0173
Food & function,0.0175
Circulation reports,0.0177
Aging cell,0.0187
Clinical colorectal cancer,0.0191
Journal of innate immunity,0.0192
